cuein;cueout;resource;visitor;note
23-01-20 16:45;23-01-20 17:00;COL;0;ABSCENCE
23-01-20 17:00;23-01-20 17:30;DJP;16144;
24-01-20 09:00;24-01-20 09:30;DJP;13220;
24-01-20 09:00;24-01-20 10:00;DANA;0;ABSCENCE
24-01-20 09:00;24-01-20 22:00;LEVP;0;ABSCENCE
24-01-20 09:15;24-01-20 10:00;COL;14016;
24-01-20 09:30;24-01-20 10:00;DJP;16189;
24-01-20 10:00;24-01-20 11:00;DJP;16190;
24-01-20 10:00;24-01-20 10:45;DANA;578;
24-01-20 10:00;24-01-20 10:30;COL;13767;
24-01-20 10:30;24-01-20 11:00;COL;11471;
24-01-20 10:45;24-01-20 11:30;DANA;2609;
24-01-20 11:00;24-01-20 11:45;COL;14681;
24-01-20 11:15;24-01-20 12:00;DJP;13531;
24-01-20 11:30;24-01-20 12:15;DANA;6620;
24-01-20 11:45;24-01-20 12:15;COL;11724;
24-01-20 12:15;24-01-20 12:45;COL;15819;
24-01-20 12:45;24-01-20 13:15;COL;14775;
24-01-20 13:00;24-01-20 13:30;DANA;7572;
24-01-20 13:30;24-01-20 14:30;DANA;15851;
24-01-20 13:45;24-01-20 14:15;COL;13615;
24-01-20 14:15;24-01-20 15:15;COL;11859;
24-01-20 14:30;24-01-20 15:15;DANA;7672;
24-01-20 15:15;24-01-20 16:00;DANA;8320;
24-01-20 15:15;24-01-20 16:00;COL;15992;
24-01-20 16:00;24-01-20 16:45;DANA;4077;
24-01-20 16:00;24-01-20 16:45;COL;16158;
24-01-20 16:45;24-01-20 17:30;DANA;15191;
24-01-20 16:45;24-01-20 17:15;COL;15986;
24-01-20 16:45;24-01-20 17:30;COL;15775;
27-01-20 09:00;27-01-20 09:30;LEVP;11812;
27-01-20 09:30;27-01-20 10:30;LEVP;15549;
27-01-20 10:30;27-01-20 11:00;LEVP;16218;
27-01-20 11:00;27-01-20 11:30;LEVP;8290;
27-01-20 11:30;27-01-20 12:00;LEVP;12378;
27-01-20 12:00;27-01-20 12:15;LEVP;0;ABSCENCE
27-01-20 13:00;27-01-20 14:30;LEVP;16142;
27-01-20 14:00;27-01-20 14:30;DJP;14736;
27-01-20 14:30;27-01-20 15:00;DJP;16068;
27-01-20 14:30;27-01-20 15:15;LEVP;13801;
27-01-20 15:00;27-01-20 15:30;DJP;16298;
27-01-20 15:15;27-01-20 15:45;LEVP;5287;
27-01-20 15:30;27-01-20 16:00;DJP;16138;
27-01-20 15:45;27-01-20 16:30;LEVP;16146;
27-01-20 16:00;27-01-20 16:30;DJP;4493;
27-01-20 16:30;27-01-20 16:45;DJP;11252;
27-01-20 16:30;27-01-20 17:15;LEVP;5324;
27-01-20 16:45;27-01-20 17:00;DJP;12064;
27-01-20 17:00;27-01-20 18:00;DJP;15830;
27-01-20 17:15;27-01-20 17:45;LEVP;9649;
27-01-20 17:45;27-01-20 18:00;LEVP;0;ABSCENCE
28-01-20 08:30;28-01-20 09:15;DANA;5888;
28-01-20 09:00;28-01-20 09:15;PAA;14459;
28-01-20 09:15;28-01-20 10:00;DANA;13705;
28-01-20 09:15;28-01-20 10:00;COL;12164;
28-01-20 09:15;28-01-20 09:45;PAA;16214;
28-01-20 09:45;28-01-20 10:00;PAA;16213;
28-01-20 10:00;28-01-20 10:45;DANA;15732;
28-01-20 10:00;28-01-20 10:15;PAA;10339;
28-01-20 10:00;28-01-20 10:45;COL;14961;
28-01-20 10:15;28-01-20 11:00;PAA;15204;
28-01-20 10:45;28-01-20 11:00;COL;10438;
28-01-20 10:45;28-01-20 11:15;DANA;6633;
28-01-20 11:00;28-01-20 11:30;PAA;6541;
28-01-20 11:00;28-01-20 11:15;COL;10439;
28-01-20 11:15;28-01-20 12:00;DANA;6768;
28-01-20 11:15;28-01-20 11:30;COL;11312;
28-01-20 11:30;28-01-20 12:30;COL;14696;
28-01-20 11:30;28-01-20 12:15;PAA;13990;
28-01-20 11:45;28-01-20 12:30;DANA;13931;
28-01-20 12:15;28-01-20 12:30;PAA;16226;
28-01-20 12:30;28-01-20 13:00;COL;4438;
28-01-20 12:30;28-01-20 13:00;PAA;16078;
28-01-20 13:00;28-01-20 13:45;COL;0;ABSCENCE
28-01-20 13:00;28-01-20 13:15;LEVP;0;ABSCENCE
